Timestamp,User,Action,IP,User-Agent,Status
2025-03-2 0:47:36,user_24,Login Attempt,192.168.1.6,Firefox/89.0,Success
2025-03-2 5:30:21,user_42,Password Reset,192.168.1.50,Mozilla/5.0,Success
2025-03-4 0:56:30,eva.r,File Accessed,192.168.1.133,Safari/14.1,Success
2025-03-5 2:51:6,user_24,File Accessed,192.168.1.163,Chrome/90.0,Success
2025-03-4 11:2:1,user_5,Data Downloaded,192.168.1.107,Firefox/89.0,Success
2025-03-3 12:35:21,user_7,Login Attempt,192.168.1.63,Chrome/90.0,Success
2025-03-3 1:12:31,user_5,Password Reset,192.168.1.152,Edge/91.0,Success
2025-03-5 8:55:2,eva.r,Password Reset,192.168.1.49,Mozilla/5.0,Success
2025-03-3 17:33:17,user_22,Password Reset,192.168.1.181,Edge/91.0,Success
2025-03-5 20:47:3,user_2,Unauthorized Access,192.168.1.148,Edge/91.0,Success
2025-03-1 0:26:16,user_47,Password Reset,192.168.1.234,Mozilla/5.0,Failed
2025-03-2 11:25:21,user_16,File Accessed,192.168.1.167,Chrome/90.0,Success
2025-03-2 0:50:41,user_33,Suspicious Activity,192.168.1.68,Safari/14.1,Failed
2025-03-3 5:42:51,user_21,Data Downloaded,192.168.1.72,Firefox/89.0,Failed
2025-03-3 1:29:16,user_34,File Accessed,192.168.1.249,Mozilla/5.0,Success
2025-03-2 12:18:40,user_7,Login Attempt,192.168.1.197,Safari/14.1,Success
2025-03-5 23:51:18,user_13,Suspicious Activity,192.168.1.113,Edge/91.0,Failed
2025-03-1 9:46:50,user_22,Login Attempt,192.168.1.130,Mozilla/5.0,Success
2025-03-5 12:19:2,user_23,Login Attempt,192.168.1.67,Firefox/89.0,Success
2025-03-3 13:46:37,user_22,Unauthorized Access,192.168.1.68,Chrome/90.0,Failed
2025-03-3 10:54:57,user_20,Login Attempt,192.168.1.225,Mozilla/5.0,Success
2025-03-3 8:29:22,user_32,File Accessed,192.168.1.43,Safari/14.1,Success
2025-03-5 20:25:17,user_42,Data Downloaded,192.168.1.103,Firefox/89.0,Success
2025-03-2 17:29:3,user_34,Login Attempt,192.168.1.200,Chrome/90.0,Success
2025-03-5 9:45:39,user_22,Login Attempt,192.168.1.174,Chrome/90.0,Success
2025-03-2 7:35:15,user_50,Login Attempt,192.168.1.176,Mozilla/5.0,Failed
2025-03-3 20:21:23,user_35,Unauthorized Access,192.168.1.127,Safari/14.1,Success
2025-03-5 9:44:11,user_13,Password Reset,192.168.1.208,Chrome/90.0,Success
2025-03-3 1:39:28,user_32,Suspicious Activity,192.168.1.194,Edge/91.0,Success
2025-03-2 17:40:26,user_36,Unauthorized Access,192.168.1.80,Edge/91.0,Success
2025-03-5 13:23:43,user_3,Login Attempt,192.168.1.139,Chrome/90.0,Success
2025-03-1 2:7:40,user_11,Password Reset,192.168.1.210,Safari/14.1,Success
2025-03-3 15:53:50,user_14,Data Downloaded,192.168.1.23,Safari/14.1,Success
2025-03-4 0:20:28,user_41,Suspicious Activity,192.168.1.41,Edge/91.0,Success
2025-03-1 21:18:47,user_39,File Accessed,192.168.1.53,Firefox/89.0,Success
2025-03-4 10:20:19,user_6,Login Attempt,192.168.1.81,Firefox/89.0,Success
2025-03-5 16:33:7,frank.t,Login Attempt,192.168.1.238,Chrome/90.0,Success
2025-03-2 13:48:19,user_32,Data Downloaded,192.168.1.238,Mozilla/5.0,Success
2025-03-5 19:51:45,user_49,Login Attempt,192.168.1.165,Edge/91.0,Success
2025-03-3 23:31:42,user_26,Data Downloaded,192.168.1.254,Mozilla/5.0,Success
2025-03-4 15:48:11,user_1,Data Downloaded,192.168.1.72,Firefox/89.0,Failed
2025-03-3 4:50:55,charlie.m,Password Reset,192.168.1.232,Edge/91.0,Success
2025-03-2 5:33:15,user_30,Unauthorized Access,192.168.1.14,Safari/14.1,Success
2025-03-3 22:2:3,user_24,Unauthorized Access,192.168.1.142,Safari/14.1,Success
2025-03-4 18:46:41,user_35,Password Reset,192.168.1.68,Edge/91.0,Success
2025-03-2 13:48:5,user_31,Login Attempt,192.168.1.66,Chrome/90.0,Success
2025-03-3 0:39:23,user_34,Data Downloaded,192.168.1.72,Safari/14.1,Success
2025-03-4 16:40:7,user_8,Login Attempt,192.168.1.129,Firefox/89.0,Success
2025-03-2 7:18:31,bob.k,Unauthorized Access,192.168.1.120,Chrome/90.0,Failed
2025-03-1 16:55:52,frank.t,Unauthorized Access,192.168.1.41,Edge/91.0,Failed
2025-03-5 8:26:38,user_26,Login Attempt,192.168.1.30,Mozilla/5.0,Failed
2025-03-3 16:21:11,user_4,Login Attempt,192.168.1.164,Mozilla/5.0,Failed
2025-03-2 6:15:6,user_21,Unauthorized Access,192.168.1.215,Safari/14.1,Success
2025-03-4 21:45:34,user_33,Login Attempt,192.168.1.28,Safari/14.1,Success
2025-03-2 16:27:34,user_9,Data Downloaded,192.168.1.9,Mozilla/5.0,Success
2025-03-3 18:20:9,user_48,Login Attempt,192.168.1.208,Mozilla/5.0,Success
2025-03-2 9:51:2,user_8,Suspicious Activity,192.168.1.204,Chrome/90.0,Success
2025-03-2 10:29:45,user_30,Unauthorized Access,192.168.1.37,Mozilla/5.0,Failed
2025-03-3 8:49:13,user_16,Login Attempt,192.168.1.203,Safari/14.1,Success
2025-03-3 20:4:51,user_18,File Accessed,192.168.1.29,Edge/91.0,Success
2025-03-3 11:43:26,user_25,Unauthorized Access,192.168.1.169,Firefox/89.0,Success
2025-03-1 4:28:19,user_27,Login Attempt,192.168.1.18,Chrome/90.0,Success
2025-03-3 18:54:35,user_23,File Accessed,192.168.1.81,Edge/91.0,Success
2025-03-4 0:32:19,user_6,Password Reset,192.168.1.25,Firefox/89.0,Success
2025-03-1 8:14:59,user_16,File Accessed,192.168.1.96,Edge/91.0,Success
2025-03-1 23:59:20,user_33,File Accessed,192.168.1.240,Mozilla/5.0,Success
2025-03-5 17:22:17,user_6,Unauthorized Access,192.168.1.129,Safari/14.1,Success
2025-03-5 17:20:55,user_31,Unauthorized Access,192.168.1.139,Mozilla/5.0,Success
2025-03-1 11:45:36,user_50,Suspicious Activity,192.168.1.19,Firefox/89.0,Success
2025-03-5 7:2:54,bob.k,Password Reset,192.168.1.77,Firefox/89.0,Failed
2025-03-4 6:44:17,user_4,Data Downloaded,192.168.1.14,Edge/91.0,Success
2025-03-4 16:22:7,user_15,Unauthorized Access,192.168.1.27,Edge/91.0,Success
2025-03-3 23:48:25,user_48,Login Attempt,192.168.1.210,Chrome/90.0,Success
2025-03-5 5:36:46,user_2,Suspicious Activity,192.168.1.29,Chrome/90.0,Failed
2025-03-4 16:12:14,user_16,Login Attempt,192.168.1.132,Edge/91.0,Success
2025-03-3 13:20:12,user_41,Suspicious Activity,192.168.1.17,Firefox/89.0,Success
2025-03-1 12:33:50,david.s,Unauthorized Access,192.168.1.120,Edge/91.0,Success
2025-03-3 5:28:6,user_28,Data Downloaded,192.168.1.12,Chrome/90.0,Success
2025-03-1 4:30:26,user_28,Login Attempt,192.168.1.133,Safari/14.1,Success
2025-03-3 3:40:31,user_47,Suspicious Activity,192.168.1.53,Firefox/89.0,Success
2025-03-2 9:36:36,user_39,Data Downloaded,192.168.1.38,Safari/14.1,Success
2025-03-3 17:26:4,user_6,Unauthorized Access,192.168.1.136,Mozilla/5.0,Success
2025-03-5 18:17:43,user_37,Data Downloaded,192.168.1.132,Firefox/89.0,Failed
2025-03-1 1:22:28,user_16,Unauthorized Access,192.168.1.75,Chrome/90.0,Success
2025-03-5 1:48:20,user_5,Password Reset,192.168.1.245,Safari/14.1,Failed
2025-03-1 4:18:2,user_28,Password Reset,192.168.1.233,Mozilla/5.0,Success
2025-03-3 20:10:13,user_38,Data Downloaded,192.168.1.221,Firefox/89.0,Success
2025-03-1 20:51:3,user_32,Suspicious Activity,192.168.1.48,Firefox/89.0,Failed
2025-03-2 5:10:11,user_45,File Accessed,192.168.1.146,Edge/91.0,Success
2025-03-5 18:57:33,user_46,Data Downloaded,192.168.1.56,Firefox/89.0,Success
2025-03-5 17:29:20,user_40,Login Attempt,192.168.1.178,Chrome/90.0,Success
2025-03-3 9:20:9,user_43,File Accessed,192.168.1.164,Safari/14.1,Success
2025-03-3 8:31:7,user_50,Unauthorized Access,192.168.1.14,Edge/91.0,Failed
2025-03-1 13:4:32,user_14,Login Attempt,192.168.1.168,Edge/91.0,Success
2025-03-1 18:0:56,user_3,File Accessed,192.168.1.150,Safari/14.1,Success
2025-03-2 18:41:0,user_31,Password Reset,192.168.1.113,Safari/14.1,Success
2025-03-1 10:51:21,user_37,Unauthorized Access,192.168.1.202,Safari/14.1,Success
2025-03-2 0:32:30,user_46,Login Attempt,192.168.1.73,Edge/91.0,Success
2025-03-4 9:0:59,user_48,Password Reset,192.168.1.162,Safari/14.1,Success
2025-03-1 12:10:39,user_35,Suspicious Activity,192.168.1.250,Chrome/90.0,Success
2025-03-5 6:1:6,user_32,Login Attempt,192.168.1.83,Mozilla/5.0,Success
2025-03-1 8:25:10,user_30,Password Reset,192.168.1.76,Chrome/90.0,Failed
2025-03-1 4:52:5,user_30,Suspicious Activity,192.168.1.140,Edge/91.0,Success
2025-03-3 8:47:55,user_44,File Accessed,192.168.1.156,Chrome/90.0,Success
2025-03-2 23:13:22,user_50,Suspicious Activity,192.168.1.91,Chrome/90.0,Success
2025-03-2 7:7:53,eva.r,Suspicious Activity,192.168.1.72,Safari/14.1,Failed
2025-03-2 16:49:15,user_22,Data Downloaded,192.168.1.156,Safari/14.1,Success
2025-03-3 7:26:23,user_13,Data Downloaded,192.168.1.249,Safari/14.1,Success
2025-03-4 7:56:32,user_26,Suspicious Activity,192.168.1.80,Firefox/89.0,Success
2025-03-3 7:59:49,user_18,Login Attempt,192.168.1.90,Chrome/90.0,Success
2025-03-2 11:10:1,bob.k,Unauthorized Access,192.168.1.127,Chrome/90.0,Success
2025-03-3 18:51:52,user_9,Login Attempt,192.168.1.88,Safari/14.1,Success
2025-03-4 14:56:28,user_31,Login Attempt,192.168.1.126,Safari/14.1,Failed
2025-03-5 10:54:43,user_5,Unauthorized Access,192.168.1.38,Firefox/89.0,Success
2025-03-2 4:28:15,user_11,Password Reset,192.168.1.107,Safari/14.1,Success
2025-03-3 11:9:11,user_34,Password Reset,192.168.1.126,Chrome/90.0,Success
2025-03-2 23:36:24,user_41,Unauthorized Access,192.168.1.201,Edge/91.0,Failed
2025-03-4 4:32:12,user_28,Login Attempt,192.168.1.187,Edge/91.0,Failed
2025-03-2 17:57:31,alice.w,Suspicious Activity,192.168.1.160,Edge/91.0,Success
2025-03-2 5:42:16,bob.k,File Accessed,192.168.1.136,Chrome/90.0,Failed
2025-03-3 22:18:5,user_1,Login Attempt,192.168.1.165,Chrome/90.0,Success
2025-03-1 22:0:23,user_35,File Accessed,192.168.1.231,Chrome/90.0,Success
2025-03-2 18:49:59,user_5,Unauthorized Access,192.168.1.34,Mozilla/5.0,Success
2025-03-2 11:42:54,user_42,Unauthorized Access,192.168.1.122,Safari/14.1,Failed
2025-03-4 15:36:27,user_41,Unauthorized Access,192.168.1.152,Edge/91.0,Success
2025-03-5 20:32:58,user_21,Unauthorized Access,192.168.1.197,Mozilla/5.0,Success
2025-03-5 10:13:38,user_42,Login Attempt,192.168.1.77,Safari/14.1,Success
2025-03-5 3:49:44,user_17,Unauthorized Access,192.168.1.98,Safari/14.1,Success
2025-03-3 23:4:19,david.s,Login Attempt,192.168.1.246,Safari/14.1,Success
2025-03-1 0:35:30,user_48,Unauthorized Access,192.168.1.213,Edge/91.0,Success
2025-03-4 8:38:3,user_9,Login Attempt,192.168.1.156,Mozilla/5.0,Failed
2025-03-1 6:20:35,user_30,Password Reset,192.168.1.23,Safari/14.1,Success
2025-03-3 14:10:56,user_26,Login Attempt,192.168.1.73,Chrome/90.0,Success
2025-03-3 19:13:43,user_21,Password Reset,192.168.1.150,Firefox/89.0,Success
2025-03-4 10:59:49,user_36,Suspicious Activity,192.168.1.60,Edge/91.0,Success
2025-03-5 1:18:59,user_38,File Accessed,192.168.1.65,Edge/91.0,Success
2025-03-1 21:27:57,user_2,Data Downloaded,192.168.1.10,Safari/14.1,Success
2025-03-5 4:30:17,user_50,Suspicious Activity,192.168.1.116,Chrome/90.0,Success
2025-03-1 20:4:54,user_38,Unauthorized Access,192.168.1.61,Chrome/90.0,Success
2025-03-4 9:57:5,user_10,Password Reset,192.168.1.12,Firefox/89.0,Success
2025-03-5 14:39:2,user_20,Data Downloaded,192.168.1.41,Chrome/90.0,Success
2025-03-4 5:28:31,user_2,Unauthorized Access,192.168.1.55,Chrome/90.0,Success
2025-03-3 14:6:25,user_25,Password Reset,192.168.1.141,Chrome/90.0,Success
2025-03-2 11:9:23,user_50,Login Attempt,192.168.1.152,Chrome/90.0,Success
2025-03-1 18:40:54,david.s,Login Attempt,192.168.1.229,Firefox/89.0,Success
2025-03-3 16:42:28,user_45,File Accessed,192.168.1.103,Chrome/90.0,Success
2025-03-2 3:55:26,user_9,Password Reset,192.168.1.111,Chrome/90.0,Success
2025-03-5 23:56:15,user_32,Unauthorized Access,192.168.1.198,Edge/91.0,Failed
2025-03-1 15:39:36,user_47,Suspicious Activity,192.168.1.22,Firefox/89.0,Success
2025-03-3 19:35:24,user_50,File Accessed,192.168.1.8,Chrome/90.0,Success
2025-03-1 11:56:54,alice.w,Login Attempt,192.168.1.165,Mozilla/5.0,Failed
2025-03-4 3:31:41,user_10,Unauthorized Access,192.168.1.109,Mozilla/5.0,Success
2025-03-1 21:17:51,user_15,Data Downloaded,192.168.1.150,Safari/14.1,Success
2025-03-5 11:52:19,user_5,Suspicious Activity,192.168.1.149,Edge/91.0,Failed
2025-03-4 6:10:18,frank.t,Login Attempt,192.168.1.221,Mozilla/5.0,Success
2025-03-4 5:42:7,user_4,File Accessed,192.168.1.249,Firefox/89.0,Success
2025-03-3 12:53:55,bob.k,File Accessed,192.168.1.180,Mozilla/5.0,Failed
2025-03-2 7:49:10,user_47,Password Reset,192.168.1.58,Safari/14.1,Failed
2025-03-4 12:39:11,user_3,Unauthorized Access,192.168.1.75,Edge/91.0,Success
2025-03-4 1:13:37,bob.k,File Accessed,192.168.1.207,Mozilla/5.0,Failed
2025-03-1 14:1:43,user_37,Login Attempt,192.168.1.96,Edge/91.0,Success
2025-03-4 4:22:5,user_30,File Accessed,192.168.1.30,Firefox/89.0,Success
2025-03-3 12:19:25,charlie.m,Suspicious Activity,192.168.1.197,Edge/91.0,Success
2025-03-4 7:6:15,user_33,File Accessed,192.168.1.162,Chrome/90.0,Success
2025-03-2 17:13:11,user_1,Login Attempt,192.168.1.132,Edge/91.0,Success
2025-03-2 8:58:14,user_50,Login Attempt,192.168.1.115,Edge/91.0,Success
2025-03-5 21:5:13,user_14,Unauthorized Access,192.168.1.141,Safari/14.1,Success
2025-03-2 6:32:34,eva.r,Password Reset,192.168.1.2,Edge/91.0,Success
2025-03-4 20:14:56,user_17,Password Reset,192.168.1.118,Chrome/90.0,Success
2025-03-4 14:13:55,user_22,Password Reset,192.168.1.240,Safari/14.1,Success
2025-03-5 22:30:10,user_4,Login Attempt,192.168.1.82,Mozilla/5.0,Success
2025-03-2 1:22:22,user_8,File Accessed,192.168.1.253,Edge/91.0,Success
2025-03-5 12:10:27,user_47,Unauthorized Access,192.168.1.123,Safari/14.1,Success
2025-03-1 15:26:12,user_10,Login Attempt,192.168.1.217,Chrome/90.0,Success
2025-03-1 13:29:32,user_8,Login Attempt,192.168.1.83,Chrome/90.0,Success
2025-03-3 14:20:53,user_16,Data Downloaded,192.168.1.139,Edge/91.0,Success
2025-03-3 1:55:45,user_17,Password Reset,192.168.1.5,Chrome/90.0,Failed
2025-03-3 3:12:18,user_17,Password Reset,192.168.1.15,Safari/14.1,Success
2025-03-1 18:52:49,user_13,Data Downloaded,192.168.1.159,Firefox/89.0,Success
2025-03-5 9:28:34,user_36,Password Reset,192.168.1.247,Safari/14.1,Success
